FEATURE CARRIED,CONDITION RATING,VERBAL RATING
11TH AVE,4.426,FAIR
W 42ND ST,4.587,FAIR
W 57TH ST,4.853,FAIR
W 148TH ST PED BRDG,4.200,FAIR
W 158TH ST,5.917,GOOD
W 173RD ST PED BRDG,4.600,FAIR
W 155TH ST PED BRDG,3.862,FAIR
INWOOD HILL PK FTBR,4.100,FAIR
E 97TH ST,4.647,FAIR
W 41ST ST,4.444,FAIR
W 50TH ST,4.500,FAIR
W 54TH ST,5.492,GOOD
W 55TH ST,5.529,GOOD
W 56TH ST,5.397,GOOD
TRANSVERSE RD #1 WB ,5.000,GOOD
W 65TH ST ENTR EB,5.100,GOOD
W 40TH ST,4.103,FAIR
PARK AVE S.B.,4.514,FAIR
PARK AVE N.B,4.757,FAIR
TO GWB OPP W 171ST ST,4.524,FAIR
WEST DR (GREYSHOT ARCH),5.400,GOOD
W 62 ST PED BRDG (PINEBANK ARCH),4.654,FAIR
E 62 ST PED BRDG (GAPSTOW BRDG),4.241,FAIR
EAST DR (INSCOPE ARCH),4.367,FAIR
CENTER DR (DRIPROCK ARCH),4.867,FAIR
EAST DR (GREEN GAP ARCH),4.433,FAIR
CENTER DR (PLAYMATES ARCH),4.500,FAIR
WEST DR (DALEHEAD ARCH),4.667,FAIR
PED BRDG OPP 65 ST,4.583,FAIR
CENTER DRIVE,4.467,FAIR
EAST DRIVE,4.667,FAIR
WEST DRIVE,4.700,FAIR
EAST DR (WILLOWDELL ARCH),3.500,FAIR
W 72 ST ENTR (RIFTSTONE ARCH),4.467,FAIR
72 ST CROSS DR (TERRACE BRDG),5.786,GOOD
73 ST PED BRDG (BOW BRIDGE),3.946,FAIR
EAST DR (TREFOIL ARCH),5.130,GOOD
EAST DRIVE,4.600,FAIR
WEST DRIVE,4.167,FAIR
EAST DRIVE,4.300,FAIR
WEST DRIVE,4.800,FAIR
EAST DRIVE,4.100,FAIR
WEST DRIVE,4.167,FAIR
W77 ST PED (OAK BRDG),5.368,GOOD
WEST DR (BALCONY BRDG),5.000,GOOD
W77 ST PED (LADIES POND BRDG),4.355,FAIR
EAST DR (GREYWACKE ARCH),3.733,FAIR
WEST DR (WINTERDALE ARCH),5.182,GOOD
W86 ST PED (SW RESERVOIR BRDG),4.852,FAIR
E86 ST PED (SE RESERVOIR BRDG),4.509,FAIR
PED PATH OPP E79 ST,4.233,FAIR
TRNSVRS RD 1 EB (DENESMOUTH ARCH),4.636,FAIR
W110 ST ENTR (MOUNTCLIFF ARCH),4.317,FAIR
79 TH ST PED BRDG,3.926,FAIR
E77 ST PED (GLADE ARCH),4.138,FAIR
W77 ST ENTR (EAGLEVALE ARCH),4.263,FAIR
EAST DR (HUDDLESTONE ARCH),4.500,FAIR
W 181 ST,5.200,GOOD
A.C. POWELL BLVD N.B.,4.347,FAIR
FORT TRYON PLACE,4.200,FAIR
CORBIN PL OVERPASS,5.000,GOOD
E 34TH ST,4.117,FAIR
PARK AVE VIADUCT,4.537,FAIR
TUDOR CITY PLACE,5.133,GOOD
E42ND ST - E47TH ST,4.922,FAIR
HIGH BRIDGE PDOVP,3.759,FAIR
W 176TH ST PED BRDG,4.533,FAIR
E 128TH ST PED BRDG,3.939,FAIR
RIVERSIDE DRIVE,4.444,FAIR
W 134 ST,4.778,FAIR
ISHAM PK VEHICULR,6.065,VGOOD
ISHAM PK PED BRDG,4.138,FAIR
W 153 ST,4.611,FAIR
RIVERSIDE DRIVE,3.528,FAIR
RIVERSIDE DRIVE,5.471,GOOD
RIVERSIDE DRIVE,4.900,FAIR
E 129TH ST PED BRDG,4.524,FAIR
94TH ST PED BRDG,4.231,FAIR
UNION ST,6.172,VGOOD
BOWNE ST,5.451,GOOD
PARSONS BLVD,4.824,FAIR
147TH ST,5.392,GOOD
149TH ST,4.776,FAIR
149TH PLACE,5.000,GOOD
150TH ST,6.088,VGOOD
MURRAY ST,5.185,GOOD
WOODSIDE AVE,4.413,FAIR
CORPORAL KENNEDY ST,6.157,VGOOD
BELL BLVD,5.610,GOOD
65TH ST,6.375,VGOOD
65TH PLACE,6.324,VGOOD
DOUGLASTON PKWY,4.542,FAIR
GRAND AVE,4.396,FAIR
55TH AVE PED BRDG,4.120,FAIR
80TH ROAD,4.698,FAIR
82ND AVE,5.246,GOOD
LEFFERTS BLVD,5.736,GOOD
JACKSON AVE,5.550,GOOD
21ST ST,5.153,GOOD
49TH AVE,3.819,FAIR
THOMPSON AVE,5.125,GOOD
QUEENS BLVD,6.268,VGOOD
HONEYWELL ST,5.792,GOOD
39TH ST (NORTH),6.208,VGOOD
37TH AVE,5.894,GOOD
ROOSEVELT AVE,6.208,VGOOD
41ST AVE,4.788,FAIR
WOODSIDE AVE,5.033,GOOD
43RD AVE,5.000,GOOD
44TH AVE,5.267,GOOD
45TH AVE,5.224,GOOD
GRAND AVE,6.183,VGOOD
57TH AVE,5.976,GOOD
CALDWELL AVE,5.889,GOOD
ELIOT AVE,4.972,FAIR
JUNIPER BLVD SO,4.833,FAIR
69TH STREET,4.979,FAIR
METROPOLITAN AVE,4.233,FAIR
ANDREWS AVE,6.688,VGOOD
60TH ST,5.208,GOOD
ELIOT AVE,5.627,GOOD
80TH ST,4.932,FAIR
FOREST PARK DRIVE,5.158,GOOD
PARK LANE SOUTH,6.983,VGOOD
MYRTLE AVE,5.028,GOOD
PED BRG NEAR UNION TPK,4.522,FAIR
39TH ST (SOUTH),5.667,GOOD
60TH RD PED BRDG,5.000,GOOD
FOREST PARK DRIVE,4.302,FAIR
221ST ST,5.926,GOOD
WOODHAVEN BLVD,4.208,FAIR
WHITELAW PED BRDG,4.303,FAIR
CROSS BAY BLVD,5.958,GOOD
RAMP TO LINDEN BLVD,5.200,GOOD
MOTOR PKWY (PED),4.444,FAIR
MOTOR PKWY (PED),4.403,FAIR
MOTOR PKWY (PED),3.836,FAIR
MOTOR PKWY (PED),4.672,FAIR
FLSHG MDW PK PED,4.639,FAIR
MOTOR PKWY (PED),4.672,FAIR
MOTOR PKWY (PED),3.833,FAIR
UNION TPKE,4.733,FAIR
FLUSHING MEADOW PK PED,1.000,CLOSED
FLUSHING MEADW PK RD,4.481,FAIR
WOODHAVEN BLVD,4.078,FAIR
ELIOT AVE,4.804,FAIR
RUST ST,4.672,FAIR
SERVICE RD TURNAROUND,5.078,GOOD
BEACH CHANNEL DR WB,4.400,FAIR
FLUSHING AV SERVICE RD,5.250,GOOD
102ND ST,6.015,VGOOD
MEADOW LAKE BRIDGE,4.458,FAIR
HIGHLAND PK PED.,3.667,FAIR
J.R. PKWY-UNION TPKE,4.806,FAIR
71ST AVE,4.373,FAIR
FOREST PARK DR,4.984,FAIR
ROCKAWAY BLVD,5.474,GOOD
BOATHOUSE BRIDGE,4.296,FAIR
TOMPKINS AVE,5.953,GOOD
JOHN ST PED BRDG,5.423,GOOD
